time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
1.9200000000000013,0.253029089915,0.32354586801,3.7343569277,0.0657396396882,6.25161261528,0.0,0.436136813143,0.596043253378,3.89079816878,0.0529787750844,-0.00638518299396,0.0,482.322214606918,479.83109170801384,481.90665195941335,480.46656913618364
1.9800000000000013,0.279791854537,0.360557521686,3.96901308503,0.0694871446547,6.25099029374,0.0,0.455993848714,0.637991562829,3.93089633894,0.0767153498971,-0.0198583903225,0.0,432.94747787910984,431.8124161207467,432.6911570563063,434.6877990051642
2.0400000000000014,0.307825184341,0.400301190275,4.20806900446,0.0740504592935,6.24973774344,0.0,0.478561790655,0.687237587832,4.03720326671,0.0747020368078,-0.022992392836,0.0,454.66306061813737,454.41190322471255,454.22884367630127,454.07177191742846
2.1000000000000014,0.337296263141,0.443221091348,4.45519195384,0.0787764393888,6.24852702153,0.0,0.503928633219,0.743888528889,4.19957254948,0.0858540592921,-0.0150742293785,0.0,472.6627923384668,473.2727150449168,471.00286250047924,471.86914261869435
2.1600000000000015,0.368262330108,0.48952872149,4.71055273978,0.0837964347377,6.24741500203,0.0,0.528359415149,0.800187032318,4.31195846607,0.0788905798638,-0.0265492622366,0.0,458.9508613274711,458.03916094978274,458.7347587986347,458.1868959735286
2.2200000000000015,0.400613822138,0.539070340663,4.96971617294,0.0897627564569,6.24559342031,0.0,0.550170360438,0.851680973567,4.32668773207,0.123745930704,-0.0393429930536,0.0,429.35084921144136,428.2635425334384,426.5202949523128,430.3424683215849
2.2800000000000016,0.43428105782,0.591749614564,5.2290185391,0.0978286874981,6.24336395669,0.0,0.572266212196,0.904959327363,4.31665462047,0.150028922013,-0.0331117688792,0.0,420.647899541908,421.1864831652132,419.4596230864981,421.75343545149406
2.3400000000000016,0.469528201273,0.64830516261,5.49307581333,0.106639720569,6.24160922618,0.0,0.602817238407,0.98114922335,4.48444322507,0.13959499491,-0.0224597134462,0.0,476.138213828054,476.95230821217353,477.21176642379135,476.4331235980301
2.4000000000000017,0.506419298607,0.709045223441,5.76180350814,0.115339477492,6.24015037542,0.0,0.627003266108,1.04424500218,4.47305626722,0.154046039636,-0.0283075972004,0.0,423.46084227221183,422.9573170989981,420.65557590826,421.9259993605484
2.4600000000000017,0.544811117728,0.773787207753,6.03037036527,0.125182015942,6.2381389083,0.0,0.652879446126,1.1146501404,4.47898136712,0.17887504486,-0.0468075725059,0.0,429.3109038003564,427.73754158196704,426.8450525817936,428.98516973114835
2.520000000000002,0.584925575861,0.84329661808,6.30211884738,0.136208157206,6.2354866499,0.0,0.68452478709,1.20337213866,4.57866693988,0.192088456598,-0.0394503217498,0.0,458.2287050226569,458.8122019315878,458.00854408949647,459.08973664937764
